Subject;Course Code;Course Name;Course Description;Summary;Course Number;Total Courses;Course Rank;category;Monday;Tuesday;Wednesday;Thursday;Friday;Time;TimeOfDay
Africana Studies;AFRI 0090;An Introduction to Africana Studies;"This course introduces students to the vibrant and contested field of Africana Studies by critically exploring and analyzing the links and disjunctures in the cultural, political, and intellectual practices and experiences of people of African descent throughout the African diaspora. Beginning with a critical overview of the history, theoretical orientations, and multiple methodological strategies of the discipline, the course is divided into three thematic units that examine intellectuals, politics, and movements; identity construction and formation; and literary, cultural, and aesthetic theories and practices in the African diaspora.";“An Introduction to Africana Studies” (AFRI0090), taught by Professor Francoise Hamlin, is an introductory lecture course that serves to introduce students to the study of the African diaspora. The scope of the course is broad, encompassing history, literature and culture, identity formation, and methodologies within the field. Many students also felt that the class helped them to develop their skills as writers. As it is introductory, the course has no prerequisites, and class members felt that none were needed for them to get the most out of the semester. Some mentioned that a basic knowledge of American history was helpful but, again, not necessary.;90;13;1;1;0;1;0;1;0;1pm;Afternoon
Africana Studies;AFRI 0130;This is America: Reimagining the American Saga;History offers us a framework to appraise the forces and conditions that have formed people’s shared experiences. Because of this, the histories we tell are often explanatory. They delineate how we arrived at this moment and tell us which people and what events were most consequential. But what happens when the people who look like you are not part of the story? Or if their inclusion amounts to cameos in support of a larger narrative that ultimately minimizes or ignores their contributions? This course reimagines American history by placing in the foreground the people and events often marginalized or forgotten in traditional appraisals of the past. Through a review of historical sources, literature, oral histories, and evidence found in popular culture, this class offers a more inclusive retelling of the American saga.;N/A;130;13;2;1;1;0;0;0;0;3pm;Afternoon
Africana Studies;AFRI 0670;Global Black Radicalism;The decade from the mid-Sixties until the mid-Seventies witnessed the rise of Black Radicalism as a global phenomenon. The emergence of Black Power in the US, Brazil and the Caribbean, the consolidation of liberation struggles in Portuguese Africa and the rise of a Black Consciousness trend in Apartheid South Africa all represent key moments. What led young activists to embrace “Black Power?” What led to the emergence of Marxist movements in Portuguese Africa? What events in the Caribbean gave ascendancy to radical tendencies? And what forces contributed to the decline of these movements? This course seeks to answer these questions.;"Reviewers praised Professor Hamlin highly, saying that she encouraged critical thought and participation. Respondents noted that she created a learning environment in which they felt comfortable engaging in stimulating discussion. Professor Hamlin primarily lectured from PowerPoint slides and held question and answer sections at the end of each class period; she also frequently invited guest lecturers from different fields within Africana studies. Though reviews were extremely complimentary of the professor and the course in general, some students suggested that Professor Hamlin make her lectures more dynamic and provide more time for discussion. Class members nonetheless found her to be very approachable and available outside of class through email and during office hours, and they noted that she gave excellent feedback.";670;13;3;1;0;1;0;1;0;4pm;Afternoon
Africana Studies;AFRI 0800;Theorizing Racism;Why does racism persist in the twenty-first century? How has racism changed over time? Are the vast majority of Americans racist? Or does racism largely exist without racists? Is racism a problem we can overcome? Or is it a permanent feature of American democracy? This lecture course will examine these questions through a critical reconstruction of the most prominent theories of racism in the social sciences and humanities, identifying the concept’s central problem space, while simultaneously opening up the question, what, if anything, can be done to intervene on this stubbornly persistent problem. Along the way, we will also interrogate related concepts like racial injustice, racial prejudice, race relations, racial inequality, white supremacy, antiblack racism, and herrenvolk democracy.;N/A;800;13;4;1;0;1;0;1;0;2:30pm;Afternoon
Africana Studies;AFRI 1060D;The Harlem Renaissance: Art, Literature, and Classic Women Blues;"In this undergraduate course, we will focus on the Harlem Renaissance, also known as the New Negro Movement, the important African American artistic and socio-cultural moment that dates roughly from 1919-1934. Organized as an interdisciplinary course, we will examine the historical context of the period; the literature including novels by Jean Toomer and Nella Larsen; the art including the painting of Aaron Douglas, the sculpture of Richmond Barthé, and the photography of James Van Der Zee; and classic female blues with a focus on the music and lyrics of Gertrude “Ma” Rainey and Bessie Smith. We will also read a range of writers from the period including Marita O. Bonner, W. E. B. Du Bois, Marcus Garvey, Langston Hughes, Zora Neale Hurston, Alain Locke, Elise Johnson McDougald, and George S. Schuyler.";;1060;13;5;2;0;1;0;0;0;4pm;Afternoon
Africana Studies;AFRI 1112;What's Popping: The Contemporary Black Theatre Workshop;Open to all Brown students, this course introduces students to contemporary (post-1980) Black theatre history, theory, and artistic practice. Students will read, analyze and interpret a range of influential plays such as What to Send Up When It Goes Down, Hurt Village, Twilight, Topdog/Underdog, Choir Boy, Bootycandy, Diary of a Mad Black Woman, and Fences. Course work includes opportunities to perform scenes and monologues, see live theatre in and around Providence, and devise original performance works through in-class writing, movement, and improv theatre exercises. The semester culminates in an Artists Salon featuring students' work. No previous acting, improv, movement, directing, playwriting or Black theatre experience required. No prereqs. All are welcome.;;1112;13;6;2;0;1;0;1;0;2:30pm;Afternoon
Africana Studies;AFRI 1215;The Visual Culture of 1930s: Race, Gender, and the Laboring Body;The 1930s mark a moment of extraordinary change in the United States. The Great Depression precipitated a rethinking and reordering of the federal government’s response to economic, political, and social institutions. As part of this rethinking, the federal government sponsored an unprecedented number of art projects, creating jobs for thousands of painters, sculptors, photographers, printmakers, architects, filmmakers, writers, and actors. However, the New Deal art projects of President Franklin D. Roosevelt were not the only response to the changing times. The 1930s also saw the rise of leftist political artists and the strikingly conservative art forms of the so-called “Regionalist” painters. In this seminar, we will consider the federal art projects of President Franklin D. Roosevelt, social realism (broadly conceived), and the world’s fairs of the period—sometimes called the “Century-of-Progress” expositions.;;1215;13;7;2;0;1;0;1;0;4pm;Afternoon
Africana Studies;AFRI 1330;Africana Studies Junior Seminar;This junior seminar course is designed to support students’ growth as academic writers and will prepare them to better complete their culminating senior thesis projects. While specifically geared towards Africana Studies concentrators, the class is open to any undergraduate student who has successfully completed AFRI 0090: An Introduction to Africana Studies and at least four semesters of coursework overall towards the Bachelor’s degree. Course materials will delve deeply into the history, spaces, peoples and cultures of the African Diaspora, exploring a selection of critical writings, performance pieces, fiction and non-fiction works by leading scholars and artists.;;1330;13;8;2;0;1;0;1;0;10:30am;Morning
Africana Studies;AFRI 1510;Making and Remaking Blackness in the Western World;This course is an interdisciplinary survey of cultural, social, and political expressions of Blackness among people of African descent in the Western World, primarily the United States, and the social forces that create various understandings of this identity. Black experiences of and reflections on what it means to be Black are articulated in writing, visual and performing arts, music, and social media. Students will read, listen, and view a wide of set of materials that reflect people of African descent and their negotiation, rejection, and reimagination of different forms of Blackness in affirmative and complex ways from the 18th century to the present. Primary and secondary texts will comprise the course readings and range from cultural studies, philosophy, critical race theory, sociology, political science, literature, and history, among other areas.;;1510;13;9;2;0;1;0;1;0;9am;Morning
Africana Studies;AFRI 2105;Professionalization Seminar;This course explores the mechanics of a doctorate degree in Africana Studies. We will explore the constitution of our field through the elaboration of exam lists and narratives, query its pedagogical application in the design of undergraduate syllabi, and begin to outline and enact our participation in the profession both within and beyond the academy. At the end of this class, students will have constructed a portfolio that will assist their progress towards a degree and provide the tools with which to chart pathways once a degree is in hand. A key component of the professionalization courses is the construction of an undergraduate syllabus by each student, which will subsequently be revised and discussed during the dissertation proposal defense, and which will be taught in either the first semester of the student’s fourth or fifth year.;;2105;13;10;3;1;0;0;0;0;3pm;Afternoon
